Case_ID,Activity,Resource,Timestamp,Status
Case_001,Ticket Review,Developer,2024-12-18 09:00:00,Completed
Case_001,Clarification Meeting,Team Lead,2024-12-18 10:00:00,Completed
Case_001,Start Working on Task,Developer,2024-12-18 11:00:00,Completed
Case_001,Runs Automated Tests,Developer,2024-12-18 13:00:00,Passed
Case_001,Creates Pull Request,Developer,2024-12-18 13:30:00,Completed
Case_001,QA Testing,QA,2024-12-18 14:00:00,Approved
Case_001,Code Review,Team Lead,2024-12-18 15:00:00,Approved
Case_001,Merge Pull Request,Team Lead,2024-12-18 15:30:00,Completed
Case_002,Ticket Review,Developer,2024-12-18 09:30:00,Completed
Case_002,Start Working on Task,Developer,2024-12-18 10:00:00,Completed
Case_002,Runs Automated Tests,Developer,2024-12-18 12:00:00,Failed
Case_002,Fix Issues,Developer,2024-12-18 12:30:00,Completed
Case_002,Runs Automated Tests,Developer,2024-12-18 13:00:00,Passed
Case_002,Creates Pull Request,Developer,2024-12-18 13:30:00,Completed
Case_002,QA Testing,QA,2024-12-18 14:30:00,Issues Found
Case_002,Fix Issues,Developer,2024-12-18 15:00:00,Completed
Case_002,QA Testing,QA,2024-12-18 15:30:00,Approved
Case_002,Code Review,Team Lead,2024-12-18 16:00:00,Approved
Case_002,Merge Pull Request,Team Lead,2024-12-18 16:30:00,Completed
Case_003,Ticket Review,Developer,2024-12-18 10:00:00,Completed
Case_003,Start Working on Task,Developer,2024-12-18 10:30:00,Completed
Case_003,Runs Automated Tests,Developer,2024-12-18 12:00:00,Passed
Case_003,Creates Pull Request,Developer,2024-12-18 12:30:00,Completed
Case_003,QA Testing,QA,2024-12-18 13:00:00,Issues Found
Case_003,Fix Issues,Developer,2024-12-18 14:00:00,Completed
Case_003,QA Testing,QA,2024-12-18 15:00:00,Issues Found
Case_003,Fix Issues,Developer,2024-12-18 16:00:00,Completed
Case_003,QA Testing,QA,2024-12-18 17:00:00,Approved
Case_003,Code Review,Team Lead,2024-12-18 17:30:00,Approved
Case_003,Merge Pull Request,Team Lead,2024-12-18 18:00:00,Completed
Case_004,Ticket Review,Developer,2024-12-18 10:00:00,Completed
Case_004,Start Working on Task,Developer,2024-12-18 11:00:00,Completed
Case_004,Runs Automated Tests,Developer,2024-12-18 13:00:00,Passed
Case_004,Creates Pull Request,Developer,2024-12-18 13:30:00,Completed
Case_004,QA Testing,QA,2024-12-18 14:00:00,Approved
Case_004,Code Review,Team Lead,2024-12-18 15:00:00,Issues Found
Case_004,Fix Issues,Developer,2024-12-18 16:00:00,Completed
Case_004,Creates Pull Request,Developer,2024-12-18 16:30:00,Completed
Case_004,QA Testing,QA,2024-12-18 16:50:00,Approved
Case_004,Code Review,Team Lead,2024-12-18 17:20:00,Approved
Case_004,Merge Pull Request,Team Lead,2024-12-18 17:30:00,Completed
